id,game_id,year,month,day,home_team,away_team,home_score,away_score,tier
234,0021701213,2018,4,10,IND,CHA,93,119,0
235,0021701197,2018,4,8,CHA,IND,117,123,0
236,0021701182,2018,4,6,ORL,CHA,100,137,0
237,0021701160,2018,4,3,CHI,CHA,120,114,0
238,0021701143,2018,4,1,CHA,PHI,102,119,0
239,0021701138,2018,3,31,WAS,CHA,107,93,0
240,0021701116,2018,3,28,CHA,CLE,105,118,0
241,0021701103,2018,3,26,CHA,NYK,137,128,0
242,0021701093,2018,3,24,DAL,CHA,98,102,0
243,0021701072,2018,3,22,CHA,MEM,140,79,0
244,0021701052,2018,3,19,PHI,CHA,108,94,0
245,0021701038,2018,3,17,NYK,CHA,124,101,0
246,0021701011,2018,3,13,NOP,CHA,119,115,0
247,0021700987,2018,3,10,CHA,PHX,122,115,0
248,0021700957,2018,3,6,CHA,PHI,114,128,0
249,0021700944,2018,3,4,TOR,CHA,103,98,0
250,0021700927,2018,3,2,PHI,CHA,110,99,0
251,0021700907,2018,2,27,CHA,CHI,118,103,0
252,0021700892,2018,2,25,CHA,DET,114,98,0
253,0021700875,2018,2,23,WAS,CHA,105,122,0
254,0021700854,2018,2,14,ORL,CHA,102,104,0
255,0021700833,2018,2,11,CHA,TOR,103,123,0
256,0021700824,2018,2,9,UTA,CHA,106,94,0
257,0021700814,2018,2,8,POR,CHA,109,103,0
258,0021700794,2018,2,5,DEN,CHA,121,104,0
259,0021700789,2018,2,4,PHX,CHA,110,115,0
260,0021700766,2018,2,2,CHA,IND,133,126,0
261,0021700738,2018,1,29,IND,CHA,105,96,0
262,0021700727,2018,1,27,MIA,CHA,95,91,0
263,0021700701,2018,1,24,CHA,NOP,96,101,0
264,0021700687,2018,1,22,CHA,SAC,112,107,0
265,0021700676,2018,1,20,CHA,MIA,105,106,0
266,0021700653,2018,1,17,CHA,WAS,133,109,0
267,0021700638,2018,1,15,DET,CHA,107,118,0
268,0021700629,2018,1,13,CHA,OKC,91,101,0
269,0021700618,2018,1,12,CHA,UTA,99,88,0
270,0021700603,2018,1,10,CHA,DAL,111,115,0
271,0021700577,2018,1,5,LAL,CHA,94,108,0
272,0021700552,2018,1,2,SAC,CHA,111,131,0
273,0021700542,2017,12,31,LAC,CHA,106,98,0
274,0021700528,2017,12,29,GSW,CHA,100,111,0
275,0021700481,2017,12,23,CHA,MIL,111,106,0
276,0021700476,2017,12,22,MIL,CHA,109,104,0
277,0021700454,2017,12,20,CHA,TOR,111,129,0
278,0021700441,2017,12,18,CHA,NYK,109,91,0
279,0021700429,2017,12,16,CHA,POR,91,93,0
280,0021700418,2017,12,15,CHA,MIA,98,104,0
281,0021700412,2017,12,13,HOU,CHA,108,96,0
282,0021700394,2017,12,11,OKC,CHA,103,116,0
283,0021700377,2017,12,9,CHA,LAL,99,110,0
284,0021700367,2017,12,8,CHA,CHI,111,119,0
285,0021700358,2017,12,6,CHA,GSW,87,101,0
286,0021700339,2017,12,4,CHA,ORL,104,94,0
287,0021700321,2017,12,1,MIA,CHA,105,100,0
288,0021700307,2017,11,29,TOR,CHA,126,113,0
289,0021700277,2017,11,25,CHA,SAS,86,106,0
290,0021700270,2017,11,24,CLE,CHA,100,99,0
291,0021700253,2017,11,22,CHA,WAS,129,124,0
292,0021700241,2017,11,20,CHA,MIN,118,102,0
293,0021700228,2017,11,18,CHA,LAC,102,87,0
294,0021700222,2017,11,17,CHI,CHA,123,120,0
295,0021700207,2017,11,15,CHA,CLE,107,115,0
296,0021700152,2017,11,7,NYK,CHA,118,113,0
297,0021700143,2017,11,5,MIN,CHA,112,94,0
298,0021700126,2017,11,3,SAS,CHA,108,101,0
299,0021700105,2017,11,1,CHA,MIL,126,121,0
300,0021700096,2017,10,30,MEM,CHA,99,104,0
301,0021700088,2017,10,29,CHA,ORL,120,113,0
302,0021700070,2017,10,27,CHA,HOU,93,109,0
303,0021700055,2017,10,25,CHA,DEN,110,93,0
304,0021700044,2017,10,23,MIL,CHA,103,94,0
305,0021700003,2017,10,18,DET,CHA,102,90,0
306,0021701224,2018,4,11,CHI,DET,87,119,0
307,0021701144,2018,4,1,CHI,WAS,113,94,0
308,0021701129,2018,3,30,ORL,CHI,82,90,0
309,0021701125,2018,3,29,MIA,CHI,103,92,0
310,0021701111,2018,3,27,HOU,CHI,118,86,0
311,0021701089,2018,3,24,DET,CHI,117,95,0
312,0021701083,2018,3,23,CHI,MIL,105,118,0
313,0021701069,2018,3,21,CHI,DEN,102,135,0
314,0021701055,2018,3,19,NYK,CHI,110,92,0
315,0021701039,2018,3,17,CHI,CLE,109,114,0
316,0021701024,2018,3,15,MEM,CHI,110,111,0
317,0021701010,2018,3,13,CHI,LAC,106,112,0
318,0021700977,2018,3,9,DET,CHI,99,83,0
319,0021700967,2018,3,7,CHI,MEM,119,110,0
320,0021700930,2018,3,2,CHI,DAL,108,100,0
321,0021700888,2018,2,24,MIN,CHI,122,104,0
322,0021700870,2018,2,22,CHI,PHI,115,116,0
323,0021700859,2018,2,14,CHI,TOR,98,122,0
324,0021700844,2018,2,12,CHI,ORL,105,101,0
325,0021700829,2018,2,10,CHI,WAS,90,101,0
326,0021700822,2018,2,9,CHI,MIN,114,113,0
327,0021700795,2018,2,5,SAC,CHI,104,98,0
328,0021700775,2018,2,3,LAC,CHI,113,103,0
329,0021700759,2018,1,31,POR,CHI,124,108,0
330,0021700731,2018,1,28,CHI,MIL,96,110,0
331,0021700717,2018,1,26,CHI,LAL,103,108,0
332,0021700704,2018,1,24,PHI,CHI,115,101,0
333,0021700692,2018,1,22,NOP,CHI,132,128,0
334,0021700657,2018,1,17,CHI,GSW,112,119,0
335,0021700644,2018,1,15,CHI,MIA,119,111,0
336,0021700632,2018,1,13,CHI,DET,107,105,0
337,0021700607,2018,1,10,NYK,CHI,119,122,0
338,0021700593,2018,1,8,CHI,HOU,107,116,0
339,0021700581,2018,1,6,IND,CHI,125,86,0
340,0021700572,2018,1,5,DAL,CHI,124,127,0
341,0021700560,2018,1,3,CHI,TOR,115,124,0
342,0021700547,2018,1,1,CHI,POR,120,124,0
343,0021700537,2017,12,31,WAS,CHI,114,110,0
344,0021700524,2017,12,29,CHI,IND,119,107,0
345,0021700509,2017,12,27,CHI,NYK,92,87,0
346,0021700501,2017,12,26,MIL,CHI,106,115,0
347,0021700466,2017,12,21,CLE,CHI,115,112,0
348,0021700458,2017,12,20,CHI,ORL,112,94,0
349,0021700444,2017,12,18,CHI,PHI,117,115,0
350,0021700426,2017,12,15,MIL,CHI,109,115,0
351,0021700409,2017,12,13,CHI,UTA,103,100,0
352,0021700380,2017,12,9,CHI,NYK,104,102,0
353,0021700354,2017,12,6,IND,CHI,98,96,0
354,0021700344,2017,12,4,CHI,CLE,91,113,0
355,0021700322,2017,12,1,CHI,SAC,106,107,0
356,0021700315,2017,11,30,DEN,CHI,111,110,0
357,0021700299,2017,11,28,CHI,PHX,99,104,0
358,0021700287,2017,11,26,CHI,MIA,93,100,0
359,0021700276,2017,11,24,GSW,CHI,143,94,0
360,0021700265,2017,11,22,UTA,CHI,110,80,0
361,0021700252,2017,11,21,LAL,CHI,103,94,0
362,0021700239,2017,11,19,PHX,CHI,113,105,0
363,0021700212,2017,11,15,OKC,CHI,92,79,0
364,0021700183,2017,11,11,SAS,CHI,133,94,0
365,0021700171,2017,11,10,CHI,IND,87,105,0
366,0021700153,2017,11,7,TOR,CHI,119,114,0
367,0021700133,2017,11,4,CHI,NOP,90,96,0
368,0021700120,2017,11,3,ORL,CHI,83,105,0
369,0021700110,2017,11,1,MIA,CHI,97,91,0
370,0021700079,2017,10,28,CHI,OKC,69,101,0
371,0021700049,2017,10,24,CLE,CHI,119,112,0
372,0021700031,2017,10,21,CHI,SAS,77,87,0
373,0021700014,2017,10,19,TOR,CHI,117,100,0
374,0021701220,2018,4,11,CLE,NYK,98,110,0
375,0021701207,2018,4,9,NYK,CLE,109,123,0
376,0021701183,2018,4,6,PHI,CLE,132,130,0
377,0021701176,2018,4,5,CLE,WAS,119,115,0
378,0021701156,2018,4,3,CLE,TOR,112,106,0
379,0021701149,2018,4,1,CLE,DAL,98,87,0
380,0021701131,2018,3,30,CLE,NOP,107,102,0
381,0021701110,2018,3,27,MIA,CLE,98,79,0
382,0021701080,2018,3,23,CLE,PHX,120,95,0
383,0021701065,2018,3,21,CLE,TOR,132,129,0
384,0021701050,2018,3,19,CLE,MIL,124,117,0
385,0021701028,2018,3,15,POR,CLE,113,105,0
386,0021701014,2018,3,13,PHX,CLE,107,129,0
387,0021701000,2018,3,11,LAL,CLE,127,113,0
388,0021700986,2018,3,9,LAC,CLE,116,102,0
389,0021700970,2018,3,7,DEN,CLE,108,113,0
390,0021700950,2018,3,5,CLE,DET,112,90,0
391,0021700937,2018,3,3,CLE,DEN,117,126,0
392,0021700923,2018,3,1,CLE,PHI,97,108,0
393,0021700894,2018,2,25,CLE,SAS,94,110,0
394,0021700878,2018,2,23,MEM,CLE,89,112,0
395,0021700869,2018,2,22,CLE,WAS,103,110,0
396,0021700850,2018,2,13,OKC,CLE,112,120,0
397,0021700807,2018,2,7,CLE,MIN,140,138,0
398,0021700797,2018,2,6,ORL,CLE,116,98,0
399,0021700779,2018,2,3,CLE,HOU,88,120,0
400,0021700757,2018,1,31,CLE,MIA,91,89,0
401,0021700747,2018,1,30,DET,CLE,125,114,0
402,0021700734,2018,1,28,CLE,DET,121,104,0
403,0021700715,2018,1,26,CLE,IND,115,108,0
404,0021700698,2018,1,23,SAS,CLE,114,102,0
405,0021700674,2018,1,20,CLE,OKC,124,148,0
406,0021700664,2018,1,18,CLE,ORL,104,103,0
407,0021700646,2018,1,15,CLE,GSW,108,118,0
408,0021700619,2018,1,12,IND,CLE,97,95,0
409,0021700615,2018,1,11,TOR,CLE,133,99,0
410,0021700594,2018,1,8,MIN,CLE,127,99,0
411,0021700582,2018,1,6,ORL,CLE,127,131,0
412,0021700549,2018,1,2,CLE,POR,127,110,0
413,0021700534,2017,12,30,UTA,CLE,104,101,0
414,0021700513,2017,12,27,SAC,CLE,109,95,0
415,0021700494,2017,12,25,GSW,CLE,99,92,0
416,0021700453,2017,12,19,MIL,CLE,119,116,0
417,0021700440,2017,12,17,WAS,CLE,99,106,0
418,0021700430,2017,12,16,CLE,UTA,109,100,0
419,0021700415,2017,12,14,CLE,LAL,121,112,0
420,0021700379,2017,12,9,CLE,PHI,105,98,0
421,0021700369,2017,12,8,IND,CLE,106,102,0
422,0021700353,2017,12,6,CLE,SAC,101,95,0
423,0021700329,2017,12,2,CLE,MEM,116,111,0
424,0021700298,2017,11,28,CLE,MIA,108,97,0
425,0021700291,2017,11,27,PHI,CLE,91,113,0
426,0021700242,2017,11,20,DET,CLE,88,116,0
427,0021700220,2017,11,17,CLE,LAC,118,113,0
428,0021700193,2017,11,13,NYK,CLE,101,104,0
429,0021700181,2017,11,11,DAL,CLE,104,111,0
430,0021700166,2017,11,9,HOU,CLE,117,113,0
431,0021700149,2017,11,7,CLE,MIL,124,119,0
432,0021700122,2017,11,3,WAS,CLE,122,130,0
433,0021700106,2017,11,1,CLE,IND,107,124,0
434,0021700090,2017,10,29,CLE,NYK,95,114,0
435,0021700077,2017,10,28,NOP,CLE,123,101,0
436,0021700028,2017,10,21,CLE,ORL,93,114,0
